show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
s456,Movie,The Puppeteer,Lisa Anderson,United States,"September 17, 2020",2020,R,101 min,"Thrillers, Horror Movies"
s457,TV Show,High Roller,,United States,"January 5, 2023",2022,TV-MA,2 Seasons,"TV Dramas, Crime TV Shows"
s458,Movie,Rajasthan Sunset,Neha Kapoor,India,"May 14, 2019",2019,TV-PG,137 min,"Dramas, International Movies"
s459,Movie,One Last Job,Daniel Kim,United States,"August 10, 2022",2022,R,107 min,"Crime Movies, Action & Adventure"
s460,TV Show,The Commune,Rachel Thompson,United States,"November 6, 2020",2020,TV-MA,3 Seasons,"TV Dramas, TV Mysteries"
s461,Movie,Brave New Day,Kevin Nguyen,United States,"February 23, 2021",2021,TV-14,89 min,"Dramas"
s462,Movie,Costa Rica Calling,Emily Davis,Costa Rica,"April 11, 2022",2022,TV-PG,96 min,"Documentaries, International Movies"
s463,TV Show,The Pitch,,United States,"July 24, 2020",2020,TV-14,4 Seasons,"TV Dramas"
s464,Movie,Stone Cold,Andrew Foster,United States,"October 31, 2021",2021,R,93 min,"Thrillers, Action & Adventure"
s465,Movie,Butterfly Effect,Nicole Moore,United States,"December 23, 2019",2019,PG-13,105 min,"Sci-Fi & Fantasy, Dramas"
s466,TV Show,The Fixers,Steven Clark,United States,"March 14, 2022",2022,TV-MA,2 Seasons,"TV Dramas, Crime TV Shows"
s467,Movie,Chennai Express Way,Priya Sharma,India,"June 27, 2021",2021,TV-14,142 min,"Action & Adventure, International Movies, Comedies"
s468,Movie,Dark Skies,Jennifer White,United States,"September 10, 2020",2020,PG-13,99 min,"Sci-Fi & Fantasy, Thrillers"
s469,TV Show,Last Resort,,United States,"January 17, 2023",2022,TV-MA,1 Season,"TV Action & Adventure, TV Dramas"
s470,Movie,The Explorer,Thomas Rodriguez,United States,"May 19, 2019",2019,TV-PG,84 min,"Documentaries"
s471,Movie,Tidal Wave,Megan Harris,United States,"August 23, 2022",2022,PG-13,110 min,"Action & Adventure"
s472,TV Show,Cooking Under Fire,Patrick O'Brien,United States,"November 12, 2020",2020,TV-PG,3 Seasons,"Reality TV"
s473,Movie,Sweet Revenge,Samantha Lewis,United States,"February 11, 2021",2021,R,96 min,"Thrillers, Comedies"
s474,Movie,Passage Through Time,,United Kingdom,"April 6, 2022",2022,PG-13,112 min,"Sci-Fi & Fantasy, Dramas"
s475,TV Show,The Lodge,Brian Walker,United States,"July 7, 2020",2020,TV-14,2 Seasons,"TV Mysteries, TV Dramas"
s476,Movie,Kite Runner Stories,Christina Hall,Afghanistan,"October 8, 2021",2021,TV-14,118 min,"Dramas, International Movies"
s477,Movie,No Man's Land,Matthew Young,United States,"December 29, 2019",2019,R,100 min,"Action & Adventure, Dramas"
s478,TV Show,Codebreaker,Laura Allen,United Kingdom,"March 21, 2022",2022,TV-MA,2 Seasons,"TV Dramas, TV Mysteries"
s479,Movie,Garden of Eden,Jonathan King,United States,"June 3, 2021",2021,PG,91 min,"Dramas, Romantic Movies"
s480,Movie,Okinawa Sunset,Hiro Nakamura,Japan,"September 15, 2020",2020,TV-14,103 min,"Dramas, International Movies"
s481,TV Show,Fight Night,,United States,"January 9, 2023",2022,TV-MA,1 Season,"TV Action & Adventure"
s482,Movie,The Locksmith,Rebecca Wright,United States,"May 6, 2019",2019,R,95 min,"Crime Movies, Thrillers"
s483,Movie,Windswept,Eric Scott,United States,"August 14, 2022",2022,TV-14,88 min,"Dramas"
s484,TV Show,The Chronicle,Michelle Green,United States,"November 19, 2020",2020,TV-14,4 Seasons,"TV Dramas"
s485,Movie,Love and Other Disasters,Alex Rivera,United States,"February 16, 2021",2021,PG-13,97 min,"Romantic Movies, Comedies"
s486,Movie,Desert Rose,,India,"April 20, 2022",2022,TV-14,134 min,"Dramas, International Movies"
s487,TV Show,The Defenders,Diana Torres,United States,"July 13, 2020",2020,TV-MA,3 Seasons,"TV Action & Adventure, TV Dramas"
s488,Movie,Rhine Valley,Hans Mueller,Germany,"October 25, 2021",2021,TV-PG,94 min,"Dramas, International Movies"
s489,Movie,Jackpot,Ryan Phillips,United States,"December 8, 2019",2019,PG-13,100 min,"Comedies, Action & Adventure"
s490,TV Show,Morning Show,Karen Campbell,United States,"March 2, 2022",2022,TV-14,2 Seasons,"TV Comedies, TV Dramas"
s491,Movie,The Summit,Gregory Mitchell,United States,"June 18, 2021",2021,PG-13,108 min,"Action & Adventure, Dramas"
s492,Movie,Cape Town Stories,Susan Parker,South Africa,"September 22, 2020",2020,TV-14,102 min,"Dramas, International Movies"
s493,TV Show,Runaway Bride Club,,United States,"January 26, 2023",2022,TV-14,1 Season,"TV Comedies, Romantic TV Shows"
s494,Movie,Thunder Road,Mark Evans,United States,"May 10, 2019",2019,R,111 min,"Action & Adventure"
s495,Movie,The Naturalist,Julie Adams,United States,"August 27, 2022",2022,TV-PG,86 min,"Documentaries"
s496,TV Show,Shadow Realm,Benjamin Turner,United States,"November 21, 2020",2020,TV-MA,3 Seasons,"TV Sci-Fi & Fantasy, TV Action & Adventure"
s497,Movie,Once Upon a Lie,Stephanie Collins,United States,"February 19, 2021",2021,R,93 min,"Thrillers"
s498,Movie,Mystic River Falls,Carlos Hernandez,United States,"April 25, 2022",2022,TV-MA,98 min,"Dramas, Thrillers"
s499,TV Show,The Getaway,Ashley Stewart,United States,"July 31, 2020",2020,TV-14,2 Seasons,"TV Action & Adventure, TV Comedies"
s500,Movie,Final Curtain,,United States,"October 1, 2021",2021,R,104 min,"Dramas, Thrillers"
